datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-06-27 22:00:00,FX:EURUSD,1.06939,1.0694,1.06914,1.06936,991.0,,,2024-06-28 03:00:00,2024-06-28 05:00:00
2024-06-27 21:45:00,FX:EURUSD,1.06965,1.06969,1.06932,1.06939,1112.0,,,2024-06-28 02:45:00,2024-06-28 04:45:00
2024-06-27 21:30:00,FX:EURUSD,1.06945,1.06972,1.06944,1.06965,1208.0,,,2024-06-28 02:30:00,2024-06-28 04:30:00
2024-06-27 21:15:00,FX:EURUSD,1.06923,1.0695,1.0692,1.06945,1422.0,,,2024-06-28 02:15:00,2024-06-28 04:15:00
2024-06-27 21:00:00,FX:EURUSD,1.0691,1.06925,1.06878,1.06923,1788.0,,,2024-06-28 02:00:00,2024-06-28 04:00:00
2024-06-27 20:45:00,FX:EURUSD,1.06899,1.06922,1.06856,1.0691,2353.0,,,2024-06-28 01:45:00,2024-06-28 03:45:00
2024-06-27 20:30:00,FX:EURUSD,1.06888,1.06907,1.06852,1.06899,2143.0,,1.06832,2024-06-28 01:30:00,2024-06-28 03:30:00
2024-06-27 20:15:00,FX:EURUSD,1.06944,1.0695,1.06881,1.06888,2608.0,,,2024-06-28 01:15:00,2024-06-28 03:15:00
2024-06-27 20:00:00,FX:EURUSD,1.06976,1.0699,1.06925,1.06944,1723.0,,,2024-06-28 01:00:00,2024-06-28 03:00:00
2024-06-27 19:45:00,FX:EURUSD,1.07056,1.0706,1.06973,1.06976,1638.0,,,2024-06-28 00:45:00,2024-06-28 02:45:00
2024-06-27 19:30:00,FX:EURUSD,1.07092,1.07098,1.07054,1.07056,641.0,,,2024-06-28 00:30:00,2024-06-28 02:30:00
2024-06-27 19:15:00,FX:EURUSD,1.07103,1.07106,1.07082,1.07092,602.0,,,2024-06-28 00:15:00,2024-06-28 02:15:00
2024-06-27 19:00:00,FX:EURUSD,1.07076,1.07108,1.07069,1.07103,991.0,1.07128,,2024-06-28 00:00:00,2024-06-28 02:00:00
2024-06-27 18:45:00,FX:EURUSD,1.0709,1.07093,1.07076,1.07076,588.0,,,2024-06-27 23:45:00,2024-06-28 01:45:00
2024-06-27 18:30:00,FX:EURUSD,1.07077,1.07093,1.07076,1.0709,560.0,,,2024-06-27 23:30:00,2024-06-28 01:30:00
2024-06-27 18:15:00,FX:EURUSD,1.07046,1.07077,1.07045,1.07077,369.0,,,2024-06-27 23:15:00,2024-06-28 01:15:00
2024-06-27 18:00:00,FX:EURUSD,1.07038,1.07047,1.07036,1.07046,475.0,,,2024-06-27 23:00:00,2024-06-28 01:00:00
2024-06-27 17:45:00,FX:EURUSD,1.07051,1.07052,1.07037,1.07038,191.0,,,2024-06-27 22:45:00,2024-06-28 00:45:00
2024-06-27 17:30:00,FX:EURUSD,1.07045,1.07055,1.07045,1.07051,137.0,,,2024-06-27 22:30:00,2024-06-28 00:30:00
2024-06-27 17:15:00,FX:EURUSD,1.07036,1.07047,1.07036,1.07045,134.0,,,2024-06-27 22:15:00,2024-06-28 00:15:00
2024-06-27 17:00:00,FX:EURUSD,1.07045,1.0705,1.07024,1.07036,285.0,,,2024-06-27 22:00:00,2024-06-28 00:00:00
2024-06-27 16:45:00,FX:EURUSD,1.07051,1.07054,1.07044,1.07045,1422.0,,,2024-06-27 21:45:00,2024-06-27 23:45:00
2024-06-27 16:30:00,FX:EURUSD,1.07046,1.07057,1.07044,1.07051,367.0,,,2024-06-27 21:30:00,2024-06-27 23:30:00
2024-06-27 16:15:00,FX:EURUSD,1.07033,1.07052,1.07032,1.07046,216.0,,,2024-06-27 21:15:00,2024-06-27 23:15:00
2024-06-27 16:00:00,FX:EURUSD,1.07035,1.0704,1.06986,1.07033,136.0,,1.06966,2024-06-27 21:00:00,2024-06-27 23:00:00
2024-06-27 15:45:00,FX:EURUSD,1.07033,1.07048,1.07031,1.07035,547.0,,,2024-06-27 20:45:00,2024-06-27 22:45:00
2024-06-27 15:30:00,FX:EURUSD,1.07034,1.07037,1.07028,1.07033,401.0,,,2024-06-27 20:30:00,2024-06-27 22:30:00
2024-06-27 15:15:00,FX:EURUSD,1.07043,1.0705,1.07033,1.07034,495.0,,,2024-06-27 20:15:00,2024-06-27 22:15:00
2024-06-27 15:00:00,FX:EURUSD,1.07028,1.07046,1.07027,1.07043,813.0,,,2024-06-27 20:00:00,2024-06-27 22:00:00
2024-06-27 14:45:00,FX:EURUSD,1.07032,1.07032,1.07011,1.07028,1466.0,,,2024-06-27 19:45:00,2024-06-27 21:45:00
2024-06-27 14:30:00,FX:EURUSD,1.07051,1.07053,1.07027,1.07032,1188.0,,,2024-06-27 19:30:00,2024-06-27 21:30:00
2024-06-27 14:15:00,FX:EURUSD,1.07053,1.07072,1.07043,1.07051,1539.0,,,2024-06-27 19:15:00,2024-06-27 21:15:00
2024-06-27 14:00:00,FX:EURUSD,1.07056,1.07064,1.07039,1.07053,1646.0,,,2024-06-27 19:00:00,2024-06-27 21:00:00
2024-06-27 13:45:00,FX:EURUSD,1.07051,1.07077,1.07044,1.07056,1492.0,,,2024-06-27 18:45:00,2024-06-27 20:45:00
2024-06-27 13:30:00,FX:EURUSD,1.07037,1.07072,1.07033,1.07051,1551.0,,,2024-06-27 18:30:00,2024-06-27 20:30:00
2024-06-27 13:15:00,FX:EURUSD,1.07042,1.07051,1.07023,1.07037,1595.0,,,2024-06-27 18:15:00,2024-06-27 20:15:00
