,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3,SuperSignalV2
4044,2024-07-18 17:05:00,FX:GBPJPY,203.589,203.618,203.55,203.597,516.0,203.691,203.534,203.718,203.534,0.07482410483872802,,,,,0,0
4045,2024-07-18 17:10:00,FX:GBPJPY,203.597,203.603,203.54,203.543,492.0,203.691,203.534,203.718,203.534,0.0745876227419538,,,,,0,0
4046,2024-07-18 17:15:00,FX:GBPJPY,203.543,203.611,203.534,203.57,617.0,203.691,203.534,203.691,203.534,0.07463587028711469,,203.45936412971287,,203.49668206485643,1,0
4047,2024-07-18 17:20:00,FX:GBPJPY,203.57,203.623,203.56,203.569,553.0,203.691,203.534,203.691,203.531,0.07440315288137216,,,,,0,0
4048,2024-07-18 17:25:00,FX:GBPJPY,203.569,203.636,203.569,203.597,712.0,203.659,203.534,203.691,203.531,0.07425508982374486,,,,,0,0
4049,2024-07-18 17:30:00,FX:GBPJPY,203.597,203.621,203.577,203.584,530.0,203.656,203.534,203.691,203.523,0.07364998802727019,,,,,0,0
4050,2024-07-18 17:35:00,FX:GBPJPY,203.584,203.596,203.575,203.585,488.0,203.656,203.534,203.691,203.472,0.07259698826672509,,,,,0,0
4051,2024-07-18 17:40:00,FX:GBPJPY,203.585,203.623,203.581,203.605,181.0,203.637,203.531,203.659,203.472,0.07198504850139062,,,,,0,0
4052,2024-07-18 17:45:00,FX:GBPJPY,203.605,203.626,203.6,203.62,149.0,203.637,203.531,203.656,203.472,0.07106534753136301,,,,,0,0
4053,2024-07-18 17:50:00,FX:GBPJPY,203.62,203.637,203.583,203.583,279.0,203.637,203.523,203.656,203.472,0.0707240405807358,,,203.67236202029036,,0,0
4054,2024-07-18 17:55:00,FX:GBPJPY,203.583,203.599,203.563,203.565,431.0,203.637,203.472,203.637,203.447,0.0700295597691211,,,,,0,0
4055,2024-07-18 18:00:00,FX:GBPJPY,203.565,203.578,203.534,203.555,468.0,203.637,203.472,203.637,203.447,0.06950896857373891,,,,,0,0
4056,2024-07-18 18:05:00,FX:GBPJPY,203.555,203.596,203.554,203.587,419.0,203.637,203.472,203.637,203.447,0.06895878920226417,,,,,0,0
4057,2024-07-18 18:10:00,FX:GBPJPY,203.587,203.59,203.531,203.54,526.0,203.637,203.472,203.637,203.357,0.06875961341821885,,,,,0,0
4058,2024-07-18 18:15:00,FX:GBPJPY,203.54,203.578,203.54,203.553,264.0,203.637,203.447,203.637,203.342,0.0681444211498547,,,,,0,0
4059,2024-07-18 18:20:00,FX:GBPJPY,203.553,203.572,203.523,203.531,229.0,203.637,203.447,203.637,203.342,0.06776153272685774,,,,,0,0
4060,2024-07-18 18:25:00,FX:GBPJPY,203.531,203.531,203.472,203.472,378.0,203.637,203.447,203.637,203.342,0.06758630207232054,,,,,0,0
4061,2024-07-18 18:30:00,FX:GBPJPY,203.472,203.559,203.472,203.495,480.0,203.599,203.357,203.66,203.342,0.06797457603087391,,,,,0,0
4062,2024-07-18 18:35:00,FX:GBPJPY,203.495,203.527,203.494,203.527,362.0,203.596,203.342,203.748,203.342,0.06727508451025617,,,,,0,0
4063,2024-07-18 18:40:00,FX:GBPJPY,203.527,203.53,203.482,203.493,598.0,203.623,203.342,203.748,203.342,0.06688958282005109,,,,,0,0
4064,2024-07-18 18:45:00,FX:GBPJPY,203.493,203.499,203.447,203.464,638.0,203.623,203.342,203.748,203.342,0.06659179116364991,,,,,0,0
4065,2024-07-18 18:50:00,FX:GBPJPY,203.464,203.528,203.464,203.523,750.0,203.66,203.342,203.748,203.342,0.06653995534037677,,,,,0,0
4066,2024-07-18 18:55:00,FX:GBPJPY,203.523,203.537,203.468,203.524,948.0,203.748,203.342,203.774,203.342,0.06658915623356956,,,,,0,0
4067,2024-07-18 19:00:00,FX:GBPJPY,203.524,203.524,203.357,203.362,2121.0,203.748,203.342,203.774,203.342,0.0685973731088982,,,,,0,0
4068,2024-07-18 19:05:00,FX:GBPJPY,203.362,203.478,203.342,203.447,1483.0,203.748,203.342,203.774,203.342,0.06994542564672016,,203.2720545743533,,203.30702728717665,1,1
4069,2024-07-18 19:10:00,FX:GBPJPY,203.447,203.623,203.432,203.581,1606.0,203.748,203.342,203.774,203.342,0.07236651713378581,,,,,0,0
4070,2024-07-18 19:15:00,FX:GBPJPY,203.581,203.621,203.538,203.575,961.0,203.774,203.342,203.774,203.342,0.07257918679111006,,,,,0,0
4071,2024-07-18 19:20:00,FX:GBPJPY,203.575,203.66,203.573,203.642,701.0,203.774,203.342,203.774,203.342,0.07286760305528764,,,,,0,0
4072,2024-07-18 19:25:00,FX:GBPJPY,203.642,203.748,203.624,203.671,1224.0,203.774,203.342,203.774,203.342,0.07389025099418178,,,,,0,0
4073,2024-07-18 19:30:00,FX:GBPJPY,203.671,203.726,203.642,203.678,945.0,203.774,203.342,203.774,203.342,0.07409244597429822,,,,,0,0
4074,2024-07-18 19:35:00,FX:GBPJPY,203.678,203.733,203.671,203.7,911.0,203.774,203.342,203.774,203.342,0.07385059705481249,,,,,0,0
4075,2024-07-18 19:40:00,FX:GBPJPY,203.7,203.702,203.649,203.695,825.0,203.774,203.342,203.774,203.342,0.07343358511371618,,,,,0,0
4076,2024-07-18 19:45:00,FX:GBPJPY,203.695,203.774,203.604,203.643,1454.0,203.774,203.432,203.774,203.342,0.07536491341144161,203.84936491341145,,203.8116824567057,,2,2
4077,2024-07-18 19:50:00,FX:GBPJPY,203.643,203.721,203.619,203.674,1667.0,203.774,203.459,203.774,203.342,0.07589761514321286,,,,,0,0
4078,2024-07-18 19:55:00,FX:GBPJPY,203.674,203.705,203.495,203.498,2165.0,203.774,203.459,203.774,203.342,0.07857966284034876,,,,,0,0
4079,2024-07-18 20:00:00,FX:GBPJPY,203.498,203.624,203.498,203.604,1211.0,203.774,203.459,203.774,203.432,0.07952806958354187,,,,,0,0
4080,2024-07-18 20:05:00,FX:GBPJPY,203.604,203.605,203.47,203.512,1369.0,203.774,203.459,203.774,203.459,0.08063750819187085,,,,,0,0
4081,2024-07-18 20:10:00,FX:GBPJPY,203.512,203.552,203.479,203.506,1142.0,203.774,203.459,203.774,203.459,0.08048475802803301,,,,,0,0
4082,2024-07-18 20:15:00,FX:GBPJPY,203.506,203.549,203.459,203.491,987.0,203.774,203.459,203.774,203.459,0.08067506286747243,,203.37832493713253,,203.41866246856625,1,1
4083,2024-07-18 20:20:00,FX:GBPJPY,203.491,203.569,203.461,203.542,912.0,203.774,203.459,203.774,203.459,0.08122156161012249,,,,,0,0
4084,2024-07-18 20:25:00,FX:GBPJPY,203.542,203.639,203.531,203.617,1234.0,203.76,203.459,203.774,203.459,0.08175713037792011,,,,,0,0
4085,2024-07-18 20:30:00,FX:GBPJPY,203.617,203.658,203.586,203.607,1401.0,203.76,203.459,203.774,203.459,0.0815619877703612,,,,,0,0
4086,2024-07-18 20:35:00,FX:GBPJPY,203.607,203.611,203.572,203.583,1156.0,203.76,203.459,203.774,203.459,0.0807107480149537,,,,,0,0
