,datetime,symbol,open,high,low,close,volume,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3
3154,2024-07-08 14:50:00,FX:EURUSD,1.08249,1.08258,1.08248,1.08252,521.0,1.08258,1.08222,1.08265,1.08222,0.00020391419213124266,,,1.0826819570960657,,-2
3155,2024-07-08 14:55:00,FX:EURUSD,1.08252,1.08254,1.08245,1.0825,439.0,1.08258,1.08222,1.08261,1.08222,0.00020163590828862072,,,,,0
3156,2024-07-08 15:00:00,FX:EURUSD,1.0825,1.08251,1.08238,1.08246,286.0,1.08258,1.08222,1.08258,1.08222,0.000200203190122852,,,,,0
3157,2024-07-08 15:05:00,FX:EURUSD,1.08246,1.08251,1.0824,1.08242,204.0,1.08258,1.0823,1.08258,1.08222,0.00019839912632039605,,,,,0
3158,2024-07-08 15:10:00,FX:EURUSD,1.08242,1.08242,1.08232,1.08242,134.0,1.08258,1.08232,1.08258,1.08222,0.0001964311437939879,,,,1.082221784428103,-1
3159,2024-07-08 15:15:00,FX:EURUSD,1.08242,1.08244,1.08237,1.08241,159.0,1.08258,1.08232,1.08258,1.08222,0.00019390252091810843,,,,,0
3160,2024-07-08 15:20:00,FX:EURUSD,1.08241,1.08247,1.0824,1.08245,178.0,1.08258,1.08232,1.08258,1.08227,0.00019142447049974657,,,,,0
3161,2024-07-08 15:25:00,FX:EURUSD,1.08245,1.08248,1.08238,1.08243,210.0,1.08258,1.08227,1.08258,1.08227,0.00018959598108975585,,,,,0
3162,2024-07-08 15:30:00,FX:EURUSD,1.08243,1.08248,1.0824,1.08242,201.0,1.08254,1.08227,1.08258,1.08227,0.00018740406146796232,,,,,0
3163,2024-07-08 15:35:00,FX:EURUSD,1.08242,1.08243,1.08235,1.08236,70.0,1.08251,1.08227,1.08258,1.08227,0.00018525598023860467,,,,,0
3164,2024-07-08 15:40:00,FX:EURUSD,1.08236,1.08246,1.08236,1.08245,80.0,1.08251,1.08227,1.08258,1.08227,0.00018355086063383236,,,,,0
3165,2024-07-08 15:45:00,FX:EURUSD,1.08245,1.08248,1.08235,1.08241,115.0,1.08248,1.08227,1.08254,1.08227,0.00018247984342115942,,,1.0825712399217107,,-2
3166,2024-07-08 15:50:00,FX:EURUSD,1.08241,1.08241,1.08234,1.08234,57.0,1.08248,1.08227,1.08251,1.08227,0.00018023024655273653,,,,,0
3167,2024-07-08 15:55:00,FX:EURUSD,1.08234,1.08245,1.08227,1.08237,301.0,1.08248,1.08227,1.08251,1.08227,0.00018022564162167875,,1.0820897743583784,,1.0821798871791892,1
3168,2024-07-08 16:00:00,FX:EURUSD,1.08237,1.08244,1.08232,1.08244,8.0,1.08248,1.08227,1.08249,1.08227,0.00017902112878924757,,,,,0
3169,2024-07-08 16:05:00,FX:EURUSD,1.08244,1.08244,1.08232,1.08242,15.0,1.08248,1.08227,1.08252,1.08227,0.000177840706213465,,,,,0
3170,2024-07-08 16:10:00,FX:EURUSD,1.08242,1.08242,1.08231,1.08242,20.0,1.08248,1.08227,1.08255,1.08227,0.00017648389208919238,,,,,0
3171,2024-07-08 16:15:00,FX:EURUSD,1.08242,1.08242,1.08231,1.08231,12.0,1.08248,1.08227,1.08255,1.08227,0.00017515421424740517,,,,,0
3172,2024-07-08 16:20:00,FX:EURUSD,1.08231,1.08242,1.0823,1.08241,7.0,1.08249,1.08227,1.08256,1.08227,0.00017405112996245504,,,,,0
3173,2024-07-08 16:25:00,FX:EURUSD,1.08241,1.08242,1.0823,1.08242,15.0,1.08252,1.08227,1.08257,1.08227,0.0001729701073632039,,,,,0
3174,2024-07-08 16:30:00,FX:EURUSD,1.08242,1.08242,1.08238,1.08238,18.0,1.08255,1.08227,1.08257,1.08227,0.00017031070521594062,,,,,0
3175,2024-07-08 16:35:00,FX:EURUSD,1.08238,1.08238,1.08228,1.08237,10.0,1.08255,1.08228,1.08257,1.08227,0.00016890449111162158,,,,1.082195547754444,-1
3176,2024-07-08 16:40:00,FX:EURUSD,1.08237,1.08238,1.08228,1.08228,10.0,1.08256,1.08228,1.08257,1.08227,0.00016752640128938893,,,,1.0821962367993552,-1
